번호,단계,검토질문,상태,담당자,근거파일_또는_URL,확인일,추가확인
1,목적,목적·요구사항과 적용 기준·버전을 정했는가?,미검토,,,,
2,경계,대상 법인·사업장·기간을 정했는가?,미검토,,,,
3,사용량,전기요금·계량기별 사용량을 모았는가?,미검토,,,,
4,시간대,시간대별 부하와 수요 변화를 확인했는가?,미검토,,,,
5,설비,사용권·구조·방수·안전·계통을 확인했는가?,미검토,,,,
6,대안,동일한 범위의 총비용으로 비교했는가?,미검토,,,,
7,계약,공급 시점·부족·초과·출력제어 조건을 확인했는가?,미검토,,,,
8,변동,수요·가격·발전량의 시나리오를 비교했는가?,미검토,,,,
9,속성,전력·환경속성의 귀속과 중복 방지를 확인했는가?,미검토,,,,
10,증빙,계약·계량·정산·사용 확인의 연결을 확보했는가?,미검토,,,,
11,검증,사용량과 인정 물량을 대조했는가?,미검토,,,,
12,공개,목표·계약·실적과 범위·한계를 구분했는가?,미검토,,,,
13,목적 재검토,조건 충족과 당초 목적의 달성을 각각 평가했는가?,미검토,,,,
